RA,DEC
239.1919,-0.4201667
240.6792,-0.4229167
241.5014,-0.6160278
242.6937,-0.5613334
242.8478,-0.42025
243.6585,-0.4391667
245.8009,-0.5680556
246.8068,-0.5851111
248.9867,-0.4220278
248.9935,-0.4203056
249.202,-0.4966389
249.3406,-0.4201944
237.0825,-0.2024444
237.096,-0.05138889
239.4279,-0.2029167
241.3076,-0.1095833
245.6754,-0.1161389
246.3121,-0.002194444
247.8425,-0.09422223
237.4037,0.2128611
238.1646,0.3470278
240.3373,0.2785
243.8807,0.4118889
244.2329,0.2796389
246.5038,0.2121944
247.2942,0.2539722
236.2566,0.7275833
168.1295,-1.068278
170.9419,-1.099889
171.4908,-1.080944
171.4916,-1.084472
171.4928,-1.073722
176.1051,-1.063389
178.6887,-1.161028
180.0963,-1.097722
180.0939,-1.104694
180.1095,-1.102222
180.0837,-1.1065
183.3454,-1.158667
186.3894,-1.053056
189.734,-1.059139
190.0121,-1.050806
194.2445,-1.11225
201.5511,-1.188944
206.155,-1.050472
206.8077,-1.061917
206.8287,-1.065361
207.0656,-1.104556
207.0108,-1.095472
207.1964,-1.126222
211.7736,-1.100222
215.7018,-1.071111
215.789,-1.058528
215.8112,-1.055306
165.0131,-0.6314445
170.5118,-0.6335
171.8163,-0.7283056
174.3364,-0.6664444
175.2285,-0.6788055
175.2275,-0.6716111
182.3455,-0.74675
187.0129,-0.72775
190.2628,-0.6310833
190.7708,-0.7772222
190.8256,-0.6435556
203.7097,-0.6318055
203.8482,-0.7848055
204.2155,-0.6379167
204.3891,-0.6661111
204.322,-0.6553056
204.5561,-0.6931389
204.572,-0.6956389
204.5897,-0.6985555
204.7655,-0.7271944
204.9753,-0.76125
204.9742,-0.7610555
205.2293,-0.8026667
205.3563,-0.8233889
211.4021,-0.6308333
215.0203,-0.6399444
216.344,-0.7372778
217.3567,-0.8256389
221.5679,-0.8275555
221.5671,-0.8267778
222.2318,-0.8384722
223.0469,-0.7228333
224.904,-0.7417778
233.2625,-0.7694167
234.9021,-0.6513056
239.5494,-0.6418055
169.0663,-0.3370556
169.8836,-0.2156111
169.8878,-0.2183889
170.4431,-0.3587222
171.2818,-0.2591389
173.3596,-0.2098333
177.2522,-0.3156389
185.8613,-0.412
186.6877,-0.2277222
186.6913,-0.22175
188.2898,-0.3752222
188.7955,-0.2223611
190.0364,-0.3513333
190.0521,-0.4019722
193.3701,-0.3848889
193.3481,-0.4253333
196.7241,-0.2215
198.7014,-0.41275
199.4937,-0.3120556
199.4927,-0.3142222
201.437,-0.4172222
201.9609,-0.2131111
205.9507,-0.2129167
209.8933,-0.2097778
215.7819,-0.359
217.7677,-0.3255278
219.4689,-0.3986945
220.0448,-0.294
220.2348,-0.3179167
223.0218,-0.2565278
224.4034,-0.2346945
227.5219,-0.3775
231.2155,-0.4127778
237.1582,-0.3351667
238.7277,-0.3305833
241.5859,-0.2156111
241.9151,-0.2340278
244.7133,-0.2730556
246.1304,-0.4165833
248.3885,-0.2380833
248.8144,-0.3830833
165.4265,0.1247222
165.9062,0.005527778
171.0311,0.07147222
174.1095,0.03780556
176.6468,0.2093056
176.8748,0.09858333
178.8299,0.1198611
181.9661,0.04691667
182.8641,0.18375
183.1542,0.1213611
186.1016,0.1333333
188.0927,0.01055556
188.1797,0.1171111
188.267,0.1219167
190.9329,0.1144722
197.2317,0.1443611
197.2735,0.1761389
197.8498,0.02008333
203.1348,0.1341944
208.1862,0.1314167
208.3628,0.04775
215.7323,0.08827778
215.7383,0.05972222
215.7398,0.1504444
215.739,0.1528056
215.7507,0.1600556
215.743,0.05691667
219.0185,0.05405556
221.0764,0.04394444
222.7604,0.004888889
223.435,0.06411111
224.539,0.09383333
235.8553,0.2041944
236.0038,0.2062778
239.0388,0.1299444
241.1395,0.01138889
245.3783,0.06005555
167.987,0.5635833
177.441,0.6276667
184.4814,0.4399722
184.487,0.4291667
188.2553,0.5492778
197.777,0.5861111
198.0695,0.4897778
202.1456,0.5237222
203.696,0.4219722
203.8956,0.4665556
213.6611,0.4774722
215.7216,0.4255278
215.7311,0.5128334
215.7343,0.4508611
215.7485,0.5195278
219.3379,0.5006389
225.1485,0.4338611
225.9819,0.4321111
230.4078,0.46775
231.1826,0.6092222
234.8423,0.5072778
239.7369,0.5271111
243.2268,0.4230833
244.5271,0.5955555
245.4002,0.5280278
165.8068,1.033833
166.3125,0.9908056
168.5763,1.047694
171.8272,1.021278
172.7893,0.8862778
175.1187,0.9341111
176.7056,0.8961111
179.7028,1.046139
181.0925,0.8868611
192.1282,0.9630833
193.0597,0.8662222
198.2654,1.035833
206.0816,0.8821111
209.1196,1.047111
209.1202,1.046528
209.1215,1.045167
211.1489,0.9918611
215.5007,1.037028
216.1455,0.8895556
217.6317,0.90275
217.7901,1.039472
226.1979,0.8948056
228.3665,0.8768333
229.8,0.8400277
11.26029,13.66975
11.16571,13.65911
11.37146,13.65242
14.47688,13.70008
14.47679,13.70289
14.47679,13.702
14.47679,13.70119
17.61075,13.45578
19.03467,13.32061
19.04771,13.38672
21.30412,13.29928
26.61529,12.89283
29.47421,12.52911
30.07167,12.37664
7.949417,14.14525
