RA,DEC
236.6992,-0.5387778
236.84,-0.5672222
236.8406,-0.4265555
237.0728,-0.4913056
237.5327,-0.4588611
238.1303,-0.6279445
238.1968,-0.5071945
238.5524,-0.4989167
238.833,-0.61625
239.199,-0.4873056
239.1724,-0.5139167
239.6156,-0.543
239.6334,-0.6137222
239.5208,-0.585
239.5665,-0.5987222
239.6235,-0.5514167
239.6985,-0.4503611
239.8861,-0.42375
240.0509,-0.5463889
240.1409,-0.6092778
240.1697,-0.5255278
240.3112,-0.6083333
240.4538,-0.6225556
240.5761,-0.4756944
240.691,-0.5707222
240.7934,-0.5139444
240.8663,-0.6173889
240.9114,-0.5160277
240.9709,-0.497
240.9795,-0.5023889
240.9767,-0.4978333
240.9902,-0.6216667
241.1564,-0.4984167
241.0797,-0.5173333
241.2609,-0.4266389
241.4197,-0.4977222
241.3634,-0.5315
241.3875,-0.4996111
241.3983,-0.5664167
241.4742,-0.5504444
241.5197,-0.5615556
241.7416,-0.5226111
241.8214,-0.4829167
241.845,-0.4728056
241.9123,-0.4355833
242.0313,-0.5869722
242.0781,-0.4626111
242.1129,-0.5838611
242.2122,-0.4913611
242.304,-0.5065556
242.3173,-0.4818611
242.5595,-0.5607222
242.6103,-0.4714722
242.7635,-0.6224722
242.8688,-0.6288334
243.021,-0.4945833
243.2976,-0.4941667
243.4761,-0.6150556
243.512,-0.5431666
243.5849,-0.4699167
243.8844,-0.4584167
244.1292,-0.5825555
244.2849,-0.4555
244.5119,-0.4345556
244.8739,-0.5072222
244.9219,-0.5032778
244.9256,-0.4558333
245.1434,-0.4616944
245.1516,-0.5054722
245.2217,-0.5456945
245.4268,-0.5725278
245.8637,-0.4301667
245.8487,-0.4251389
245.8951,-0.4592222
245.931,-0.4375
245.9785,-0.4834722
246.0185,-0.4365
246.2527,-0.4775278
246.5151,-0.5901111
246.5285,-0.5873055
248.219,-0.4261667
249.6288,-0.4780556
249.9114,-0.4510278
236.251,-0.1074444
236.598,-0.06158333
236.5553,-0.08711111
236.6864,-0.01952778
237.2864,-0.001111111
237.6788,-0.09263889
238.4678,-0.09969445
238.9775,-0.1251667
239.1933,-0.1030833
239.5971,-0.115
239.5149,-0.12425
239.64,-0.07455555
239.9936,-0.1835556
240.0365,-0.02166667
240.1113,-0.17575
240.1515,-0.07705556
240.566,-0.1618611
240.6537,-0.1519167
240.6655,-0.08652778
240.8828,-0.1491111
240.977,-0.01191667
240.9788,-0.1524167
241.2295,-0.08175
241.2225,-0.04747222
241.2438,-0.1230556
241.3298,-0.1407222
241.5782,-0.03591667
241.793,-0.2084167
241.8065,-0.07877778
242.0484,-0.1182222
242.148,-0.1375
242.1845,-0.05425
242.499,-0.1960278
242.4095,-0.01916667
242.4463,-0.08433333
242.5445,-0.1769444
242.6209,-0.1337222
242.6808,-0.1436111
242.6893,-0.11675
242.6924,-0.1256944
242.7245,-0.03758333
242.8293,-0.09438889
242.8444,-0.07563889
243.0839,-0.1571945
242.9832,-0.139
242.9996,-0.1350833
243.0764,-0.1958889
243.2356,-0.1248889
243.3918,-0.1169444
243.5832,-0.03155556
244.3231,-0.2068889
244.5815,-0.01708333
245.3819,-0.07236111
245.466,-0.20325
245.9814,-0.1718333
246.253,-0.09472222
246.2951,-0.1805278
