RA,DEC
239.3828,-0.4676667
239.7921,-0.6006389
240.5818,-0.4326667
241.1649,-0.4250556
241.3206,-0.4880556
241.3788,-0.5242778
241.8292,-0.4439722
242.2326,-0.4713611
242.2747,-0.5746389
242.6117,-0.4393889
243.6877,-0.4675556
244.4968,-0.4984167
244.9355,-0.47925
245.8755,-0.4383889
246.6956,-0.5101111
246.9959,-0.4895556
248.1203,-0.4788611
248.7008,-0.50625
248.8945,-0.4523333
249.4965,-0.4984722
238.7367,-0.2093889
240.137,-0.1662778
241.8545,-0.1661667
242.4354,-0.07011111
242.7318,-0.1481944
243.0764,-0.05125
243.2368,-0.09625
243.237,-0.1001944
244.8756,-0.03852778
245.7973,-0.1092778
247.425,-0.1671111
247.5308,-0.1934444
247.8497,-0.03605556
247.9475,-0.1715833
248.0642,-0.04994445
248.2753,-0.1890833
236.7567,0.4007778
237.1745,0.2704167
239.1622,0.3511111
239.6267,0.227
239.767,0.2462222
240.0723,0.2371111
240.4984,0.31975
241.878,0.3173889
241.7766,0.2388333
242.9267,0.3880556
244.1815,0.2464722
244.38,0.2415
244.5589,0.2937222
244.6345,0.2470278
244.6625,0.3677222
244.6836,0.3553056
246.5242,0.3523056
246.8752,0.3094167
247.745,0.27225
248.4696,0.2504167
248.8506,0.3103056
249.4669,0.2733056
241.9756,0.6749445
242.6735,0.6456389
166.2423,-1.105611
170.9436,-1.104889
170.9459,-1.108333
170.9405,-1.103667
170.9492,-1.101083
174.9344,-1.13775
180.0985,-1.100083
180.0932,-1.100806
194.3422,-1.057972
197.4173,-1.051389
198.0293,-1.124139
199.8438,-1.129417
203.2687,-1.049028
208.2269,-1.114639
208.378,-1.050556
167.41,-0.8314444
176.4063,-0.8248333
196.3724,-0.6497778
205.139,-0.7163333
208.5568,-0.7766944
212.0339,-0.8272778
229.418,-0.7115278
237.2354,-0.6614722
237.2679,-0.6731945
240.2815,-0.7114444
241.0831,-0.6387222
165.8907,-0.2640556
168.6452,-0.2425278
168.6444,-0.24225
177.9104,-0.2514444
188.7944,-0.2211389
199.495,-0.3116667
207.0625,-0.3947222
211.2621,-0.2514167
215.599,-0.3876667
215.5993,-0.3738056
219.4722,-0.3988889
219.4758,-0.3979167
219.4708,-0.3951944
220.048,-0.2889722
221.5522,-0.2253889
226.7245,-0.3568889
232.2743,-0.3477222
238.6983,-0.3153889
238.7387,-0.2354167
238.8485,-0.3183056
238.8656,-0.3455278
239.0848,-0.2712222
240.3768,-0.2868056
240.3825,-0.3324444
241.8439,-0.3796944
241.9037,-0.3436944
244.4064,-0.2308611
246.221,-0.4059444
247.4093,-0.2734444
247.6434,-0.2131667
248.2954,-0.2132778
248.2985,-0.2110833
249.0527,-0.3536667
249.3189,-0.2317222
249.7031,-0.3512222
173.9035,0.13125
175.8548,0.01405556
192.9961,0.07811111
193.8027,0.1166389
205.0505,0.006416667
205.4847,0.06530555
208.1856,0.1302778
217.5903,0.1213889
218.0908,0.1781111
218.719,0.1760833
222.5155,0.0975
223.3961,0.01038889
225.5249,0.1151667
229.143,0.1111111
230.7145,0.03127778
232.9939,0.1868333
232.9932,0.1888889
239.8307,0.1061667
240.6775,0.20925
240.8691,0.03630555
240.8342,0.09841666
241.4447,0.1335278
241.8179,0.02555555
243.4548,0.007472222
243.9075,0.002388889
244.157,0.1012778
246.433,0.1988056
249.9413,0.1386111
186.4283,0.5726111
198.0639,0.5986111
