RA,DEC,nvotes,elliptical,edge_on_disk,dont_know,merger,face_on_spiral,type
240.1514,-0.176,25,0.159999996424,0.0399999991059,0.0,0.800000011921,0.0,merger
240.1515,-0.1783889,31,0.128999993205,0.097000002861,0.0649999976158,0.709999978542,0.0,merger
168.4995,-0.7365834,57,0.0879999995232,0.070000000298,0.140000000596,0.666999995708,0.0359999984503,merger
183.0025,-0.7696944,39,0.0509999990463,0.179000005126,0.0509999990463,0.717999994755,0.0,merger
230.9355,-0.8315833,33,0.211999997497,0.0,0.120999999344,0.666999995708,0.0,merger
213.6206,-0.3751111,42,0.238000005484,0.0,0.0710000023246,0.689999997616,0.0,merger
216.2386,-0.3748889,55,0.0,0.0,0.0,0.782000005245,0.217999994755,merger
236.163,-0.4181667,56,0.0179999992251,0.0,0.0710000023246,0.679000020027,0.232000000775,merger
245.2943,-0.3973055,33,0.0299999993294,0.0299999993294,0.120999999344,0.787999987602,0.0299999993294,merger
245.2956,-0.3966945,28,0.0,0.0710000023246,0.0710000023246,0.856999993324,0.0,merger
248.4136,-0.2155833,37,0.135000005364,0.0270000007004,0.0270000007004,0.81099998951,0.0,merger
248.4145,-0.2184167,27,0.111000001431,0.0,0.0370000004768,0.851999998093,0.0,merger
207.9054,0.1654444,61,0.0659999996424,0.0489999987185,0.097999997437,0.721000015736,0.0659999996424,merger
175.1962,0.5119166,58,0.0,0.120999999344,0.189999997616,0.689999997616,0.0,merger
207.9827,0.5499167,33,0.0,0.0299999993294,0.0,0.726999998093,0.241999998689,merger
244.2827,0.4484167,52,0.0769999995828,0.0769999995828,0.0189999993891,0.808000028133,0.0189999993891,merger
204.9705,0.8400277,58,0.0,0.0,0.0,0.810000002384,0.189999997616,merger
19.20092,13.45697,47,0.105999998748,0.0640000030398,0.0640000030398,0.702000021935,0.0640000030398,merger
22.66083,13.21283,61,0.0,0.0,0.01600000076,0.934000015259,0.0489999987185,merger
22.65883,13.21475,30,0.0,0.0,0.0,0.967000007629,0.0329999998212,merger
26.30704,14.42933,27,0.0740000009537,0.0740000009537,0.111000001431,0.703999996185,0.0370000004768,merger
22.13867,15.43494,24,0.125,0.0419999994338,0.0419999994338,0.666999995708,0.124999996275,merger
26.59167,15.16481,39,0.153999999166,0.103000000119,0.0769999995828,0.666999995708,0.0,merger
46.67887,-7.972694,24,0.291999995708,0.0,0.0,0.708000004292,0.0,merger
48.81575,-7.770195,54,0.0,0.166999995708,0.0740000009537,0.759000003338,0.0,merger
53.531,-7.182611,28,0.0710000023246,0.0,0.0,0.856999993324,0.0710000023246,merger
185.022,-2.938083,30,0.166999995708,0.0,0.0329999998212,0.76700001955,0.0329999998212,merger
189.4317,-2.620056,60,0.116999998689,0.082999996841,0.10000000149,0.699999988079,0.0,merger
191.1599,-2.118222,48,0.0419999994338,0.0,0.0419999994338,0.853999972343,0.0619999989867,merger
184.607,-1.721083,32,0.125,0.156000003219,0.0309999994934,0.688000023365,0.0,merger
178.8939,-1.358583,28,0.0,0.0,0.0359999984503,0.786000013351,0.179000005126,merger
181.8296,-1.288444,28,0.179000005126,0.0359999984503,0.107000000775,0.679000020027,0.0,merger
173.4942,-3.605028,28,0.0359999984503,0.0,0.0359999984503,0.929000020027,0.0,merger
173.4955,-3.602278,44,0.0230000000447,0.0230000000447,0.0,0.954999983311,0.0,merger
195.4016,-3.516917,32,0.125,0.0,0.0,0.875,0.0,merger
200.9279,-3.46825,30,0.20000000298,0.10000000149,0.0329999998212,0.666999995708,0.0,merger
177.0958,-3.2665,41,0.145999997854,0.0489999987185,0.0489999987185,0.731999993324,0.0240000002086,merger
193.2264,-3.303389,29,0.0340000018477,0.0,0.0,0.897000014782,0.0680000036955,merger
195.9775,-3.107278,42,0.0949999988079,0.0,0.0710000023246,0.833000004292,0.0,merger
178.4968,-2.7925,29,0.172000005841,0.0,0.0689999982715,0.759000003338,0.0,merger
190.0555,-2.008806,54,0.277999997139,0.0,0.0,0.685000002384,0.0370000004768,merger
191.5399,-1.929417,52,0.0379999987781,0.135000005364,0.0769999995828,0.691999971867,0.0579999983311,merger
191.5367,-1.929417,45,0.0,0.111000001431,0.111000001431,0.711000025272,0.0670000016689,merger
198.3525,-1.836694,27,0.0370000004768,0.185000002384,0.0370000004768,0.666999995708,0.0740000009537,merger
177.9397,-1.552556,33,0.181999996305,0.0,0.0,0.818000018597,0.0,merger
194.8219,-1.574389,31,0.225999996066,0.0,0.0320000015199,0.741999983788,0.0,merger
200.325,-1.534639,67,0.0,0.0599999986589,0.0,0.760999977589,0.179000004195,merger
144.9203,-0.2351389,38,0.263000011444,0.0260000005364,0.0,0.684000015259,0.0260000005364,merger
146.3735,-0.3651944,33,0.0,0.0299999993294,0.0,0.879000008106,0.0909999981523,merger
155.1447,-2.435528,31,0.097000002861,0.0649999976158,0.0649999976158,0.773999989033,0.0,merger
144.294,-1.753417,26,0.0379999987781,0.0,0.0,0.884999990463,0.0769999995828,merger
147.8646,-1.548333,51,0.27500000596,0.0,0.0,0.725000023842,0.0,merger
150.8636,-1.545583,58,0.0340000018477,0.0520000010729,0.0689999982715,0.776000022888,0.0689999982715,merger
150.8611,-1.547778,31,0.128999993205,0.0,0.16099999845,0.676999986172,0.0320000015199,merger
150.8626,-1.548111,63,0.0790000036359,0.0320000015199,0.189999997616,0.683000028133,0.01600000076,merger
153.8038,-1.7035,25,0.280000001192,0.0399999991059,0.0,0.680000007153,0.0,merger
153.8053,-1.705111,35,0.11400000006,0.0860000029206,0.0860000029206,0.713999986649,0.0,merger
156.4487,-1.741194,22,0.0450000017881,0.0909999981523,0.0909999981523,0.773000001907,0.0,merger
156.4477,-1.740444,21,0.0949999988079,0.0480000004172,0.189999997616,0.666999995708,0.0,merger
151.3039,-1.105861,28,0.0,0.0,0.0,0.820999979973,0.179000005126,merger
129.7944,50.1985,34,0.0289999991655,0.0,0.118000000715,0.852999985218,0.0,merger
132.964,52.47369,34,0.0289999991655,0.175999999046,0.0289999991655,0.705999970436,0.0579999983311,merger
135.0927,53.77206,27,0.0,0.0,0.0,0.962999999523,0.0370000004768,merger
146.2872,58.70903,33,0.211999997497,0.0,0.0299999993294,0.758000016212,0.0,merger
133.7371,54.55322,56,0.0890000015497,0.0359999984503,0.0710000023246,0.804000020027,0.0,merger
153.0009,60.88817,44,0.0,0.0,0.0450000017881,0.954999983311,0.0,merger
157.9279,62.87067,25,0.280000001192,0.0,0.0,0.72000002861,0.0,merger
251.4193,64.2125,32,0.0309999994934,0.0,0.0939999967813,0.78100001812,0.0939999967813,merger
251.4253,64.21183,53,0.0379999987781,0.0189999993891,0.0570000000298,0.867999970913,0.0189999993891,merger
251.4169,64.21108,29,0.0340000018477,0.0340000018477,0.103000000119,0.723999977112,0.103000000119,merger
256.2786,59.7725,55,0.0359999984503,0.0179999992251,0.0359999984503,0.745000004768,0.16400000453,merger
261.3213,54.02583,68,0.0439999997616,0.0879999995232,0.0149999996647,0.690999984741,0.16099999845,merger
254.924,64.61769,34,0.234999999404,0.0,0.0289999991655,0.735000014305,0.0,merger
259.3066,59.25092,35,0.171000003815,0.0,0.0289999991655,0.800000011921,0.0,merger
256.2789,62.85903,40,0.0,0.0500000007451,0.0,0.850000023842,0.100000003353,merger
154.8575,63.1485,28,0.0359999984503,0.107000000775,0.143000006676,0.713999986649,0.0,merger
202.3824,65.32411,20,0.25,0.0,0.0500000007451,0.699999988079,0.0,merger
128.4138,51.86847,30,0.166999995708,0.0,0.0,0.833000004292,0.0,merger
152.1757,62.83545,25,0.20000000298,0.0,0.0799999982119,0.680000007153,0.0399999991059,merger
190.8162,67.02795,23,0.0430000014603,0.0430000014603,0.0,0.825999975204,0.0860000029206,merger
215.8063,63.96897,24,0.125,0.0419999994338,0.082999996841,0.75,0.0,merger
199.6488,66.88303,58,0.172000005841,0.0689999982715,0.0520000010729,0.707000017166,0.0,merger
218.8921,63.55906,28,0.0710000023246,0.0710000023246,0.0,0.679000020027,0.179000005126,merger
120.4372,47.06464,45,0.0439999997616,0.0219999998808,0.111000001431,0.800000011921,0.0219999998808,merger
127.5208,53.35233,29,0.103000000119,0.0340000018477,0.0,0.759000003338,0.103000000119,merger
138.2506,60.2513,34,0.0879999995232,0.0,0.0289999991655,0.852999985218,0.0289999991655,merger
183.6296,68.36019,48,0.0,0.082999996841,0.0209999997169,0.853999972343,0.0419999994338,merger
212.1362,65.97617,23,0.0869999974966,0.0430000014603,0.0430000014603,0.695999979973,0.129999995232,merger
262.1057,57.54439,51,0.019999999553,0.0,0.0,0.940999984741,0.0399999991059,merger
123.4488,49.68533,21,0.0949999988079,0.0,0.238000005484,0.666999995708,0.0,merger
170.6905,66.39225,29,0.137999996543,0.0,0.0,0.759000003338,0.103000000119,merger
226.7145,60.31972,26,0.0379999987781,0.0,0.192000001669,0.768999993801,0.0,merger
144.2477,61.12261,21,0.238000005484,0.0,0.0949999988079,0.666999995708,0.0,merger
139.1811,59.775,45,0.0219999998808,0.0439999997616,0.133000001311,0.755999982357,0.0439999997616,merger
231.1268,59.44444,33,0.211999997497,0.0,0.0909999981523,0.697000026703,0.0,merger
233.691,58.46695,38,0.0,0.0529999993742,0.0260000005364,0.867999970913,0.0529999993742,merger
233.5655,58.38267,52,0.0,0.0,0.0769999995828,0.808000028133,0.115000002086,merger
200.3308,67.61372,30,0.266999989748,0.0329999998212,0.0329999998212,0.666999995708,0.0,merger
126.9831,52.45683,34,0.118000000715,0.0590000003576,0.146999999881,0.675999999046,0.0,merger
247.3438,48.87103,25,0.119999997318,0.0,0.0799999982119,0.800000011921,0.0,merger
221.3633,1.123861,18,0.111000001431,0.0,0.111000001431,0.777999997139,0.0,merger
224.3733,1.352194,49,0.0,0.0,0.0,0.694000005722,0.305999994278,merger
208.0685,2.099806,25,0.0,0.119999997318,0.0,0.759999990463,0.119999997318,merger
208.067,2.103028,24,0.0,0.125,0.0419999994338,0.666999995708,0.166999995708,merger
208.0653,2.102472,29,0.0340000018477,0.103000000119,0.0340000018477,0.689999997616,0.137000001967,merger
232.6112,1.590167,25,0.0399999991059,0.0,0.0399999991059,0.759999990463,0.159999996424,merger
195.4308,3.268556,56,0.0540000014007,0.0710000023246,0.0710000023246,0.786000013351,0.0179999992251,merger
195.4314,3.267611,74,0.0410000011325,0.0810000002384,0.0410000011325,0.81099998951,0.0270000007004,merger
162.7169,1.165361,32,0.0309999994934,0.0309999994934,0.0309999994934,0.811999976635,0.0939999967813,merger
197.158,1.269194,58,0.0689999982715,0.0,0.0170000009239,0.897000014782,0.0170000009239,merger
155.2709,1.522056,44,0.11400000006,0.0450000017881,0.136000007391,0.704999983311,0.0,merger
130.3953,1.031639,29,0.103000000119,0.0340000018477,0.0340000018477,0.792999982834,0.0340000018477,merger
133.6167,1.202,35,0.0289999991655,0.0,0.0289999991655,0.856999993324,0.0859999991953,merger
135.1194,1.289472,32,0.0309999994934,0.0,0.0,0.875,0.0939999967813,merger
155.3621,1.884861,28,0.143000006676,0.0359999984503,0.0,0.786000013351,0.0359999984503,merger
180.9532,2.100972,52,0.0379999987781,0.0379999987781,0.0,0.827000021935,0.0960000008345,merger
159.1366,2.365111,63,0.0,0.01600000076,0.01600000076,0.90499997139,0.0630000010133,merger
166.4463,2.441222,29,0.103000000119,0.0689999982715,0.0340000018477,0.792999982834,0.0,merger
