RA,DEC
240.1514,-0.176
240.1515,-0.1783889
241.7177,-0.005222222
193.7892,-1.091583
168.4995,-0.7365834
183.0014,-0.7706667
183.0031,-0.7663611
183.0025,-0.7696944
220.6742,-0.6349167
230.9355,-0.8315833
167.4647,-0.3173333
187.174,-0.3368056
212.7709,-0.3195833
213.6206,-0.3751111
216.2386,-0.3748889
236.163,-0.4181667
244.9534,-0.2866667
245.2943,-0.3973055
245.2956,-0.3966945
248.4136,-0.2155833
248.4145,-0.2184167
207.9054,0.1654444
212.8154,0.11725
241.6638,0.03491667
175.1962,0.5119166
175.1972,0.5144167
180.9675,0.5298055
180.9688,0.5296667
207.9827,0.5499167
244.2827,0.4484167
204.9705,0.8400277
19.20092,13.45697
22.66083,13.21283
22.65883,13.21475
19.06617,13.64958
19.06696,13.64961
24.27821,13.24875
25.75396,13.64006
9.884459,15.22267
26.30704,14.42933
22.13867,15.43494
26.59167,15.16481
53.58025,-7.587806
37.21637,-9.056139
46.67887,-7.972694
48.81575,-7.770195
53.531,-7.182611
197.0457,-3.430778
160.7692,-2.731889
160.7681,-2.7325
185.022,-2.938083
187.1683,-3.024917
189.4317,-2.620056
173.0822,-2.126555
177.9436,-2.119361
191.1599,-2.118222
184.607,-1.721083
178.8939,-1.358583
181.8296,-1.288444
173.4942,-3.605028
173.4955,-3.602278
175.877,-3.599333
195.4016,-3.516917
200.9279,-3.46825
177.0958,-3.2665
193.2264,-3.303389
195.9775,-3.107278
196.2316,-3.285111
176.9117,-2.821028
178.1399,-2.715917
178.4968,-2.7925
190.0555,-2.008806
191.5399,-1.929417
191.5367,-1.929417
198.3525,-1.836694
177.9397,-1.552556
194.8219,-1.574389
198.5431,-1.575806
200.325,-1.534639
141.8435,-0.8271111
143.4102,-0.2793333
144.9203,-0.2351389
146.3735,-0.3651944
145.8892,0.06858333
129.8582,0.5789444
155.1447,-2.435528
144.294,-1.753417
164.121,-2.325361
147.8646,-1.548333
150.8636,-1.545583
150.8611,-1.547778
150.8626,-1.548111
153.8038,-1.7035
153.8053,-1.705111
156.4487,-1.741194
156.4477,-1.740444
151.3039,-1.105861
153.619,-1.290083
157.0771,-1.368917
160.5228,-1.407972
129.7944,50.1985
132.964,52.47369
135.0927,53.77206
146.2872,58.70903
129.4863,50.53728
146.941,59.46783
133.7371,54.55322
153.0009,60.88817
161.8495,62.77594
157.9279,62.87067
251.4193,64.2125
251.4253,64.21183
251.4169,64.21108
256.2786,59.7725
258.725,57.33703
259.0942,56.63533
261.3213,54.02583
254.924,64.61769
259.3066,59.25092
256.2789,62.85903
154.8575,63.1485
190.5281,66.16505
202.3824,65.32411
128.4138,51.86847
152.1757,62.83545
154.8237,64.01153
190.8162,67.02795
215.8063,63.96897
215.8112,63.96806
136.0208,57.76953
199.6488,66.88303
218.8921,63.55906
120.4372,47.06464
124.4009,50.83853
127.5208,53.35233
172.5323,67.58625
138.2682,60.24492
138.2506,60.2513
183.6296,68.36019
194.9952,68.05861
208.004,66.83869
212.1362,65.97617
219.8169,64.39944
261.3299,58.81744
262.1057,57.54439
260.6045,66.09969
264.4423,58.96172
115.7818,40.31483
120.7969,46.10372
120.8152,46.97836
123.4488,49.68533
229.4306,58.65011
240.6704,52.23895
170.6769,66.38378
170.6905,66.39225
226.7145,60.31972
144.2477,61.12261
180.4826,67.35358
217.566,63.65556
139.1811,59.775
231.1268,59.44444
233.691,58.46695
233.5655,58.38267
200.3308,67.61372
167.4186,67.73497
238.2941,56.8495
126.9831,52.45683
246.1187,48.59667
255.1013,38.34689
249.5322,45.80308
254.5728,40.07933
247.3438,48.87103
221.3633,1.123861
201.2507,1.781472
224.3733,1.352194
208.0685,2.099806
208.067,2.103028
208.0653,2.102472
232.6112,1.590167
195.4308,3.268556
195.4314,3.267611
162.7169,1.165361
197.158,1.269194
143.1964,1.111972
155.2709,1.522056
183.8392,1.785389
200.432,1.749167
130.3953,1.031639
133.6167,1.202
135.1194,1.289472
155.3621,1.884861
180.9532,2.100972
225.0396,1.542944
159.1366,2.365111
166.4463,2.441222
171.321,2.450194
193.7145,2.637889
202.3803,2.451056
145.5384,2.470528
144.434,2.760806
144.4305,2.756917
167.8058,3.324
172.461,3.316167
212.7654,3.054222
227.216,3.06975
228.347,2.94125
222.1203,4.054667
227.7236,4.207445
233.2303,3.769972
217.1286,5.246695
318.8798,-7.459667
309.8848,-5.807278
315.8328,-6.761861
324.9721,-7.747889
335.8389,-8.941611
331.8322,-8.128445
326.4582,-7.062278
330.7299,-7.490305
331.6849,-7.692528
333.0904,-7.34175
337.7792,-7.847167
354.1531,-11.04328
356.9468,-11.11183
1.817708,-11.07031
19.64483,-10.90192
25.90754,-10.61197
26.20008,-10.46042
42.82767,-9.052889
25.59875,-10.18953
32.29704,-9.545584
4.707708,-10.36847
15.43237,-10.12011
40.53725,-8.564222
59.39083,-6.093028
354.5702,-9.722139
36.29942,-8.411917
40.36067,-8.146277
44.45846,-7.678639
59.19529,-5.272833
5.320333,-8.973083
12.49675,-8.892222
12.97533,-9.019083
15.93842,-8.962111
15.93583,-8.9635
311.5229,-7.16075
317.6083,-7.455639
310.1945,-5.628445
328.294,-7.590861
0.04966667,14.09
1.54525,14.02533
332.9299,12.35947
334.9458,12.57803
359.944,14.41536
324.5864,11.34867
