RA,DEC
240.151,-0.176
240.151,-0.178
241.718,-0.005
176.534,-1.121
185.858,-1.209
193.789,-1.092
168.5,-0.737
183.001,-0.771
183.003,-0.766
183.002,-0.77
199.955,-0.726
201.106,-0.75
203.576,-0.666
207.874,-0.77
208.144,-0.814
218.069,-0.671
220.674,-0.635
230.935,-0.832
167.465,-0.317
170.691,-0.262
187.174,-0.337
212.771,-0.32
213.621,-0.375
216.239,-0.375
236.163,-0.418
244.953,-0.287
245.284,-0.402
245.294,-0.397
245.296,-0.397
245.873,-0.365
247.817,-0.377
248.013,-0.262
248.414,-0.216
248.415,-0.218
207.905,0.165
212.815,0.117
223.864,0.053
225.624,0.128
241.664,0.033
241.664,0.035
243.272,0.204
170.685,0.46
171.964,0.555
175.196,0.512
175.197,0.514
180.208,0.457
180.968,0.53
180.969,0.53
181.524,0.466
207.983,0.55
241.715,0.426
244.283,0.448
200.935,1.044
204.97,0.84
12.415,13.682
19.201,13.457
22.661,13.213
22.659,13.215
25.139,13.0
8.006,14.326
22.817,14.462
30.428,14.658
8.998,14.121
14.573,13.913
19.066,13.65
19.067,13.65
19.976,13.543
24.031,13.209
24.278,13.249
25.754,13.64
32.648,12.917
26.876,13.868
9.871,15.264
9.884,15.223
18.619,14.9
21.209,14.659
26.307,14.429
26.268,14.254
28.243,14.563
14.177,15.885
22.139,15.435
26.592,15.165
30.95,14.726
32.915,14.539
41.192,-8.948
42.543,-8.946
42.542,-8.947
53.58,-7.588
37.216,-9.056
38.743,-8.877
46.679,-7.973
48.816,-7.77
53.531,-7.183
59.277,-6.32
42.598,-7.119
57.306,-5.446
160.671,-3.272
174.584,-3.494
197.046,-3.431
155.587,-2.652
155.583,-2.648
160.769,-2.732
160.768,-2.732
162.404,-2.837
174.161,-3.023
177.664,-3.03
185.022,-2.938
187.167,-3.025
187.168,-3.025
189.432,-2.62
196.585,-2.602
173.082,-2.127
177.944,-2.119
183.672,-2.103
187.823,-2.239
189.891,-2.194
191.16,-2.118
