,RA,DEC
0,236.588,-0.554
1,237.454,-0.426
2,238.203,-0.525
3,238.862,-0.621
4,239.383,-0.468
5,239.52,-0.575
6,239.679,-0.449
7,239.782,-0.553
8,239.792,-0.601
9,240.054,-0.546
10,240.036,-0.539
11,240.082,-0.617
12,240.185,-0.569
13,240.27,-0.537
14,240.359,-0.511
15,240.293,-0.61
16,240.306,-0.587
17,240.315,-0.539
18,240.343,-0.467
19,240.629,-0.598
20,240.582,-0.433
21,240.607,-0.619
22,240.665,-0.507
23,240.667,-0.452
24,240.878,-0.438
25,240.893,-0.596
26,240.898,-0.479
27,240.946,-0.602
28,241.083,-0.502
29,241.189,-0.474
30,241.165,-0.425
31,241.321,-0.488
32,241.379,-0.524
33,241.499,-0.471
34,241.744,-0.596
35,241.829,-0.444
36,241.841,-0.429
37,241.933,-0.482
38,242.119,-0.596
39,242.194,-0.478
40,242.233,-0.471
41,242.275,-0.575
42,242.363,-0.493
43,242.365,-0.555
44,242.391,-0.42
45,242.508,-0.534
46,242.612,-0.439
47,242.955,-0.446
48,243.522,-0.534
49,243.688,-0.468
50,243.932,-0.567
51,244.141,-0.589
52,244.492,-0.471
53,244.497,-0.498
54,244.935,-0.479
55,245.102,-0.494
56,245.367,-0.457
57,245.377,-0.457
58,245.458,-0.528
59,245.584,-0.59
60,245.875,-0.438
61,246.034,-0.473
62,246.22,-0.455
63,246.314,-0.541
64,246.447,-0.585
65,246.696,-0.51
66,246.782,-0.492
67,246.888,-0.536
68,246.996,-0.49
69,248.12,-0.479
70,248.194,-0.455
71,248.506,-0.48
72,248.701,-0.506
73,248.894,-0.452
74,248.965,-0.547
75,249.492,-0.445
76,249.496,-0.498
77,238.397,-0.076
78,238.737,-0.209
79,239.018,-0.092
80,239.97,-0.014
81,240.137,-0.166
82,240.171,-0.077
83,240.232,-0.081
84,240.37,-0.086
85,240.568,-0.151
86,240.826,-0.036
87,240.888,-0.128
88,241.109,-0.101
89,241.081,-0.015
90,241.22,-0.039
91,241.289,-0.196
92,241.302,-0.071
93,241.345,-0.038
94,241.408,-0.064
95,241.551,-0.13
96,241.66,-0.156
97,241.694,-0.199
98,241.746,-0.207
99,241.901,-0.138
100,241.846,-0.165
101,241.855,-0.166
102,242.132,-0.064
103,242.159,-0.126
104,242.22,-0.172
105,242.435,-0.07
106,242.433,-0.115
107,242.446,-0.018
108,242.648,-0.042
109,242.72,-0.005
110,242.732,-0.148
111,242.899,-0.015
112,242.944,-0.034
113,242.975,-0.055
114,243.076,-0.051
115,243.237,-0.096
116,243.237,-0.1
117,243.254,-0.117
118,243.521,-0.12
119,243.542,-0.038
120,243.603,-0.207
121,243.867,-0.184
122,244.242,-0.048
123,244.331,-0.082
124,244.49,-0.189
125,244.876,-0.039
126,245.487,-0.125
127,245.797,-0.109
128,246.105,-0.091
129,246.606,-0.063
130,246.62,-0.02
131,246.628,-0.027
132,246.745,-0.194
133,247.425,-0.167
134,247.531,-0.193
135,247.647,-0.006
136,247.85,-0.036
137,247.947,-0.172
138,247.967,-0.091
139,248.034,-0.079
140,248.064,-0.05
141,248.275,-0.189
142,249.311,-0.065
143,249.91,-0.094
144,236.221,0.354
145,236.757,0.401
146,237.174,0.27
147,237.357,0.322
148,237.608,0.341
149,237.68,0.219
150,238.607,0.262
151,238.864,0.321
152,239.093,0.371
153,239.162,0.351
154,239.389,0.316
155,239.627,0.227
156,239.685,0.241
157,239.767,0.246
158,239.817,0.366
159,239.816,0.37
160,239.813,0.396
161,239.855,0.398
162,240.072,0.237
163,240.212,0.317
164,240.498,0.32
165,240.63,0.233
166,241.776,0.223
167,241.801,0.251
168,241.878,0.317
169,241.777,0.239
170,241.98,0.271
171,242.148,0.365
172,242.481,0.227
173,242.485,0.237
174,242.517,0.364
175,242.646,0.302
176,242.653,0.313
177,242.708,0.319
178,242.745,0.336
179,242.84,0.289
180,242.892,0.284
181,242.927,0.388
182,243.113,0.305
183,243.186,0.278
184,243.201,0.379
185,243.215,0.38
186,243.692,0.373
187,243.69,0.349
188,243.689,0.239
189,243.946,0.23
190,244.181,0.246
191,244.282,0.305
192,244.334,0.305
193,244.38,0.241
194,244.553,0.237
195,244.559,0.294
196,244.568,0.234
197,244.635,0.247
198,244.662,0.368
199,244.668,0.362
200,244.684,0.355
201,245.187,0.35
202,245.272,0.211
203,245.234,0.215
204,245.257,0.405
205,245.895,0.344
206,245.944,0.286
207,245.946,0.376
208,246.416,0.268
209,246.524,0.352
210,246.875,0.309
211,246.94,0.344
212,247.622,0.378
213,247.714,0.359
214,247.745,0.272
215,248.205,0.277
216,248.47,0.25
217,248.686,0.402
218,248.851,0.31
219,248.855,0.358
220,248.848,0.287
221,249.036,0.337
222,249.192,0.325
223,249.208,0.336
224,249.305,0.347
225,249.467,0.273
226,249.456,0.394
227,249.821,0.41
228,236.193,0.395
229,238.763,0.635
230,238.77,0.629
231,239.544,0.699
232,239.601,0.692
233,241.976,0.675
234,242.399,0.665
235,242.506,0.636
236,242.673,0.646
237,165.555,-1.113
238,165.659,-1.164
239,166.242,-1.106
240,168.527,-1.17
241,169.249,-1.126
242,170.944,-1.105
243,170.946,-1.108
244,170.94,-1.104
245,170.949,-1.101
246,170.993,-1.144
247,171.317,-1.105
248,171.991,-1.214
249,172.065,-1.105
250,172.469,-1.064
251,172.476,-1.059
252,172.623,-1.098
253,172.89,-1.212
254,174.872,-1.14
255,174.908,-1.097
256,174.934,-1.138
257,175.739,-1.163
258,176.554,-1.09
259,176.685,-1.086
260,176.999,-1.106
261,177.17,-1.195
262,177.348,-1.084
263,177.346,-1.084
264,178.547,-1.131
265,179.26,-1.062
266,179.89,-1.051
267,180.099,-1.1
268,180.093,-1.101
269,183.476,-1.089
270,183.763,-1.093
271,184.043,-1.182
272,183.959,-1.238
273,184.347,-1.094
274,187.213,-1.162
275,187.527,-1.154
276,188.04,-1.095
277,190.011,-1.049
278,190.743,-1.094
279,191.558,-1.178
280,192.063,-1.065
281,194.342,-1.058
282,195.227,-1.224
283,195.659,-1.072
284,197.417,-1.051
285,197.727,-1.102
286,198.029,-1.124
287,198.053,-1.098
288,198.11,-1.106
289,199.586,-1.09
290,199.844,-1.129
291,200.038,-1.191
292,203.269,-1.049
293,203.649,-1.053
294,204.362,-1.17
295,205.594,-1.078
296,207.249,-1.131
297,208.227,-1.115
298,208.378,-1.051
299,216.322,-1.052
300,165.809,-0.654
301,167.41,-0.831
302,168.493,-0.74
303,170.042,-0.648
304,170.937,-0.836
305,170.938,-0.838
306,171.496,-0.833
307,174.391,-0.815
